title,author,genre,description,category,rating,maturity rating,page count
An Offer from a Gentleman,['Julia Quinn'],romance,Synopsis coming soon.......,['Fiction'],4,NOT_MATURE,480
The Christmas Wedding Ring,['Susan Mallery'],romance,"As a girl, Molly Anderson had a crush on her older sister's boyfriend, Dylan Black, and, now grown, recovering from an engagement broken just before Christmas, and hiding a secret, she seeks him out and they begin a new relationship.",['Fiction'],3.5,NOT_MATURE,265
Persuasion,['Jane Austen'],romance,Classics with legible texts you can actually read at a fantastic price.,['Books and reading'],4.5,NOT_MATURE,0
The Dogs and the Wolves,['Irène Némirovsky'],romance,"A wonderful, panoramic novel and an achingly poignant love story from the bestselling author of Suite Française.",['Bankers'],3.5,NOT_MATURE,227
Emma,['Jane Austen'],romance,Classics with legible texts you can actually read at a fantastic price.,['England'],4,NOT_MATURE,512
Lie Down in Darkness,['William Styron'],romance,"As Milton Loftis follows the hearse in which his beautiful daughter, Peyton, is being carried to the grave, a story unfolds about the degeneration of a tormented Southern family submerged in infidelity and vengeful love",['Fiction'],3,NOT_MATURE,408
Me and Mr Jones,['Lucy Diamond'],romance,No description,No category,0,Not rated,No data
Waiting,['Ha Jin'],romance,"For more than seventeen years, Lin Kong, a devoted and ambitious doctor, has been in love with an educated, clever, modern woman, Manna Wu. But back in his traditional home village lives the humble, loyal wife his family chose for him years ago. Every summer, he returns to ask her for a divorce and every summer his compliant wife agrees but then backs out. This time, after eighteen years' waiting, Lin promises it will be different.",['American fiction'],3,NOT_MATURE,322
My Scandalous Bride,"['Christina Dodd', 'Stephanie Laurens', 'Celeste Bradley', 'Leslie Lafoy']",romance,"The passion is endless and it's only just begun in these four scintillating tales of brides-to-be by four of today's hottest romance authors... My Scandalous Bride Christina Dodd, ""The Lady and the Tiger"" Laura Haver will stop at nothing to find out who killed her brother-even if it means posing as the wife of notorious rogue Keefe Leighton, the Earl of Hamilton. But things go too far when Keefe engages Laura in an artful game of seduction-a game that can have only one winner... Stephanie Laurens, ""Melting Ice"" Once, Dyan St. Laurent Dare, Duke of Darke, dreamed of making Lady Fiona his bride. Now they're together again-at a scandalous dinner party where debauchery is the menu's main course. But will wedding bells ring after the guests get their just desserts? Celeste Bradley, ""Wedding Knight"" Alfred Knight will do anything to avoid a scandal-even marry a woman he barely knows. But his bride has a most titillating secret...one she'll share as soon as she conquers her temptation for the man she was never supposed to marry! Leslie LaFoy, ""The Proposition"" Rennick St. James, the Earl of Parnell, has four days to seduce London's most popular widow into becoming his wife-or else she'll marry another man. It won't be easy...but Rennick has been lusting after the beguiling Julia Hamilton far too long to let her go now... Look Inside for an Excerpt to Christina Dodd's brand new contemporary romance",['Fiction'],4.5,NOT_MATURE,356
Mansfield Park,['Jane Austen'],romance,No description,No category,0,Not rated,No data
The House of the Seven Gables,"['Nathaniel Hawthorne', 'Philip Young']",romance,No description,No category,0,Not rated,No data
Love Only Once,['Johanna Lindsey'],romance,"Kidnapped and seduced by the handsome Nicholas Eden, lovely Regina Ashton falls for her captor, but scandal, danger, and tragic misunderstandings threaten their relationship, in a tale of Regency England.",['England'],3.5,NOT_MATURE,452
The Mackade Brothers - Rafe and Jared,['Nora Roberts'],romance,The Pride of Jared MacKade.,['Antique dealers'],4.5,NOT_MATURE,436
Down the Rabbit Hole,"['J. D. Robb', 'Mary Blayney', 'Elaine Fox', 'Mary Kay McComas', 'Ruth Ryan Langan']",romance,"Inspired by the enchanting Lewis Carroll classic, a collection of stories, takes readers to a place rife with the mad, impossible, and the curiouser that is neither here nor there and where things are never quite as they seem.",['Fiction'],4,NOT_MATURE,434
